并	b_
重	c_
大	d_
是	f_
一	g_
不	h_
种	i_
有	j_
的	k_
来	l_
们	m_
你	n_
平	p_
起	q_
人	r_
事	s_
他	t_
我	w_
下	x_
以	y_
必	b.
办	b/
变	b;
布	ba
避	bb
标	bc
百	bd
展	be
本	bf
表	bg
部	bh
别	bi
便	bj
把	bk
被	bl
八	bm
宝	bn
备	bo
步	bp
般	bq
白	br
比	bs
笔	bt
引	bu
吧	bv
包	bw
编	bx
北	by
边	bz
存	c,
常	c.
程	c/
产	c;
成	ca
层	cb
查	cc
沉	cd
草	ce
才	cf
传	cg
次	ch
吃	ci
从	cj
持	ck
词	cl
差	cm
穿	cn
曾	co
尘	cp
船	cq
春	cr
车	cs
长	ct
城	cu
出	cv
处	cw
纯	cx
此	cy
场	cz
带	d,
单	d.
代	d/
底	d;
达	da
导	db
电	dc
淡	dd
满	de
都	df
动	dg
度	dh
第	di
当	dj
打	dk
对	dl
道	dm
定	dn
但	do
东	dp
断	dq
段	dr
到	ds
答	dt
地	du
队	dv
多	dw
海	dx
点	dy
刀	dz
真	f/
否	fa
费	fb
飞	fc
法	fd
范	fe
整	ff
夫	fg
放	fh
古	fi
份	fj
方	fk
房	fl
父	fm
富	fn
直	fo
反	fq
者	fr
妇	fs
教	ft
复	fu
服	fv
风	fw
纷	fx
非	fy
发	fz
更	g,
光	g.
告	g/
过	g;
感	ga
改	gb
根	gc
工	gd
格	ge
故	gf
干	gg
广	gh
跟	gi
个	gj
高	gk
该	gl
关	gm
官	gn
国	go
归	gp
瓜	gq
果	gr
姑	gs
管	gt
刚	gu
云	gv
各	gw
给	gx
钢	gy
功	gz
或	h,
合	h/
黑	h;
还	ha
候	hb
横	hc
活	hd
花	he
何	hf
环	hg
装	hh
号	hi
会	hj
很	hk
话	hl
火	hm
害	hn
回	ho
后	hq
音	hr
好	hs
和	ht
乎	hu
孩	hv
将	hw
红	hx
站	hy
化	hz
再	i,
怎	i.
住	i/
主	i;
在	ia
张	ib
之	ic
注	id
着	ie
正	if
转	ig
这	ih
只	ii
作	ij
指	ik
证	il
总	im
字	in
中	io
则	ip
质	iq
自	ir
至	is
知	it
走	iu
子	iv
周	iw
组	ix
战	iy
另	iz
极	j,
计	j.
几	j/
交	j;
就	ja
即	jb
机	jc
江	jd
节	je
做	jf
进	jg
决	jh
叫	ji
今	jj
接	jk
记	jl
具	jm
觉	jn
见	jo
尖	jp
近	jq
间	jr
较	js
件	jt
结	ju
己	jv
及	jw
绝	jx
金	jy
加	jz
哭	ka
据	kb
困	kc
可	kd
苦	ke
克	kf
开	kg
刻	kh
口	ki
推	kj
控	kk
课	kl
烤	km
快	kn
看	ko
得	kr
找	ks
科	kt
块	ku
报	kv
客	kw
空	kx
肯	ky
势	kz
六	l/
离	l;
历	la
灵	lb
李	lc
流	ld
落	le
两	lf
理	lg
立	lh
路	li
令	lj
拉	lk
论	ll
类	lm
连	ln
里	lo
劣	lp
诉	lq
量	lr
军	ls
利	lt
老	lu
了	lv
调	lw
练	lx
虑	ly
力	lz
命	m/
母	m;
面	ma
民	mb
模	mc
没	md
么	me
某	mf
精	mg
麻	mh
吗	mi
门	mj
描	mk
公	ml
美	mm
慢	mn
目	mo
明	mr
妈	ms
每	mt
半	mu
前	mv
名	mw
马	mx
铭	my
分	mz
家	na
那	nb
想	nc
深	nd
呢	ne
南	nf
于	ng
应	nh
哪	ni
念	nj
拿	nk
难	nl
受	nm
宁	nn
内	no
早	nr
女	ns
年	nt
举	nu
能	nv
它	nw
经	nx
虐	ny
男	nz
破	pa
屏	pb
棚	pc
派	pd
少	pe
师	pf
璞	pg
旁	ph
品	pi
偏	pj
排	pk
评	pl
普	pm
怕	pn
盼	po
盘	pq
片	pr
匹	ps
篇	pt
培	pu
朋	pv
跑	pw
骗	px
频	py
皮	pz
七	q,
期	q/
求	q;
确	qa
强	qb
权	qc
清	qd
千	qe
取	qf
青	qg
亲	qh
器	qi
全	qj
抢	qk
请	ql
其	qm
情	qn
且	qo
雀	qp
秋	qq
晴	qr
轻	qs
气	qt
去	qu
却	qv
欠	qw
骑	qx
钱	qy
切	qz
入	r/
然	r;
而	ra
弱	rb
榕	rc
融	rd
若	re
最	rf
二	rg
景	rh
啊	ri
仍	rj
热	rk
认	rl
爱	rm
安	rn
容	ro
尔	rp
影	rq
日	rr
软	rs
任	rt
如	ru
阿	rv
儿	rw
绕	rx
让	ry
忍	rz
十	s,
神	s.
算	s/
死	sa
司	sb
术	sc
水	sd
身	se
世	sf
三	sg
商	sh
四	si
使	sj
手	sk
说	sl
数	sm
实	sn
山	so
省	sp
所	sq
时	sr
式	ss
生	st
声	su
随	sv
色	sw
书	sx
上	sy
奶	sz
太	t,
谈	t.
通	t;
态	ta
退	tb
桃	tc
添	td
特	te
团	tf
天	tg
痛	th
听	ti
体	tj
提	tk
台	tl
逃	tm
头	tn
同	to
艇	tq
题	tr
她	ts
笑	tt
等	tu
脱	tv
条	tw
统	tx
铁	ty
图	tz
王	w,
望	w;
威	wa
屋	wb
杂	wc
温	wd
九	we
五	wf
武	wg
文	wh
问	wi
位	wj
往	wk
谓	wl
为	wm
完	wn
网	wo
乐	wp
饭	wq
晚	wr
万	ws
物	wt
无	wu
卫	wv
务	ww
维	wx
外	wy
解	wz
需	x,
心	x.
信	x/
兴	x;
雄	xa
寻	xb
相	xc
消	xd
系	xe
西	xf
形	xg
新	xh
息	xi
像	xj
行	xk
许	xl
希	xm
性	xn
现	xo
小	xp
须	xq
向	xr
写	xs
先	xt
喜	xu
学	xv
象	xw
线	xx
些	xy
终	xz
由	y,
语	y.
月	y/
原	ya
已	yb
样	yc
游	yd
英	ye
要	yf
运	yg
言	yh
意	yi
依	yj
义	yk
又	yl
烟	ym
远	yn
眼	yo
殷	yq
易	yr
与	ys
移	yt
业	yu
也	yv
用	yw
约	yx
银	yy
孕	yz
飙	ba/
磅	ba;
奔	baa
碑	bae
泵	bau
甭	baz
屄	bb;
弼	bba
擘	bbe
壁	bbu
臂	bbv
槟	bc/
榜	bc;
杯	bca
板	bce
柏	bco
棒	bcu
梆	bcv
滨	bd/
逼	bd;
泊	bde
渤	bdu
波	bdz
蔽	be/
薄	be;
苯	bea
葆	bee
币	beo
蔽	beu
芭	bev
苞	bez
丙	bf;
博	bfa
鞭	bfe
贲	bfo
靶	bfv
勃	bfz
班	bg/
斑	bg;
碧	bga
帮	bgo
班	bgu
邦	bgv
辨	bh/
辩	bh;
病	bha
霸	bhe
禀	bho
冰	bhu
辫	bhv
雹	bhz
叭	bi/
啵	bi;
跋	bia
蹦	bio
卟	biu
鄙	biv
跛	biz
伴	bj/
倍	bj;
闭	bja
伯	bje
保	bjo
堡	bju
傍	bjv
播	bk/
摈	bk;
捕	bka
搬	bke
摆	bko
拜	bku
彼	bkv
抱	bkz
遍	bl;
畚	bla
裨	ble
扁	blo
补	blu
迸	bm;
弊	bma
颁	bme
爆	bmo
爸	bmv
豹	bmz
忭	bn;
怖	bna
宾	bne
悖	bnu
愎	bnz
贝	bo/
髌	bo;
败	boe
赑	boo
罢	bou
崩	bov
舶	bqe
舨	bqv
兵	br/
暴	bra
版	bre
鼻	bro
暴	bru
匾	bs;
毙	bsa
婢	bse
毕	bsu
匾	bsv
簿	bt;
笨	bta
稗	bte
秉	bto
拜	btu
笆	btv
埠	bue
坝	buo
膀	bv;
膊	bva
阪	bve
脖	bvu
巴	bvv
胞	bvz
饼	bw/
鲅	bwa
惫	bwo
饽	bwu
匕	bwv
饱	bwz
驳	bx/
缤	bx;
骠	bxa
绑	bxu
绷	bxv
悲	by;
辈	bya
彪	bye
钡	byo
步	byu
背	byv
龅	byz
磁	ca/
厨	caa
厂	cae
盛	cao
残	cau
础	cav
迟	cb;
丑	cba
尺	cbo
弛	cbv
村	cc;
材	cca
槌	cce
椿	ccu
楚	ccv
沧	cd/
澈	cd;
漕	cda
测	cdo
潮	cdu
池	cdv
茶	ce/
萃	ce;
藏	cea
菜	cee
囱	ceo
蔡	ceu
苍	cev
葱	cez
聪	cf/
寸	cf;
臣	cfa
醋	cfe
曹	cfo
刺	cfu
朝	cfv
琮	cg;
蠢	cgo
璨	cgu
琛	cgv
疮	ch/
瘁	ch;
床	cha
充	che
冲	cho
凑	chu
畜	chv
鹑	chz
踩	ci/
逞	ci;
呈	cia
踩	cie
唱	cio
吵	ciu
嘲	civ
吹	ciz
阐	cj/
丛	cja
敞	cje
侧	cjo
创	cju
仓	cjv
仇	cjz
挫	ck/
擦	ck;
操	cka
插	cke
抽	cko
撑	cku
惩	ckv
彻	ckz
禅	cl/
叉	cl;
诚	cla
参	cle
昶	clo
翠	clu
祠	clv
初	clz
糍	cm/
粹	cm;
采	cma
彩	cme
粗	cmo
炒	cmu
慈	cmv
炊	cmz
察	cn/
悴	cn;
宠	cna
窗	cne
窜	cno
恻	cnu
惨	cnv
察	cnz
睬	co/
虫	co;
财	coa
崔	coe
赐	coo
串	cou
眦	cov
畅	coz
舱	cq/
斥	cq;
晁	cr/
臭	cr;
晨	cra
昌	cro
川	cru
婵	cs/
姹	cs;
娼	cso
辍	csv
矬	ct/
辞	ct;
策	cta
掣	cte
乘	ctu
愁	ctv
称	ctz
趁	cu/
赤	cue
超	cuz
除	cv/
承	cv;
陈	cva
陲	cve
蚩	cvo
丑	cvu
肠	cvv
脆	cvz
匆	cw;
册	cwa
雏	cwe
触	cwo
猜	cwu
刍	cwv
馋	cwz
缠	cx;
骢	cxe
巢	cxo
绰	cxu
驰	cxv
绸	cxz
餐	cy/
铲	cy;
柴	cya
错	cye
锄	cyo
钞	cyu
齿	cyv
殚	da/
歹	da;
夺	daa
碟	dae
碘	dao
殆	dav
砀	daz
弹	db/
逮	db;
刁	dba
屌	dbo
刁	dbv
殿	dbz
栋	dca
椴	dce
杜	dcu
棣	dcv
豆	dd/
滴	dd;
沌	dda
洞	ddo
渎	ddu
渡	ddv
涤	ddz
荡	de;
荳	dea
董	dee
丢	dev
荻	dez
颠	df/
鞑	df;
酊	dfa
顶	dfe
戴	dfo
丁	dfu
耽	dfv
靛	dg;
毒	dgv
冻	dha
敦	dhe
端	dho
店	dhu
癜	dhv
凋	dhz
蹲	di/
踱	di;
呆	dia
跌	die
吊	dio
嘟	diu
蹬	div
叨	diz
贷	dj/
袋	dj;
倒	dja
党	dje
贷	djo
傣	dju
低	djz
掸	dk/
抖	dk;
德	dka
搭	dke
担	dko
待	dku
挡	dkv
抵	dkz
登	dl/
谛	dl;
订	dla
诞	dle
叠	dlo
读	dlu
邓	dlv
凳	dlz
籴	dm/
递	dm;
灯	dma
煅	dme
兑	dmo
弟	dmv
爹	dmz
惮	dn/
惦	dn;
惰	dna
懂	dne
恫	dno
斗	dnu
典	do/
迪	do;
盯	doa
蝶	doe
睹	doo
赌	dou
鼎	dov
骶	doz
遁	dq;
盾	dqu
舵	dqz
旦	dra
兜	dre
牍	dru
躲	drz
娣	ds/
嫡	ds;
甙	dsa
顿	dse
岱	dso
妒	dsv
稻	dt/
迭	dt;
短	dta
敌	dte
笛	dto
笃	dtv
氡	dtz
墩	du;
堆	due
堤	duo
堵	duu
埭	duv
垛	duz
蛋	dv;
胆	dvo
肚	dvu
狄	dw/
冬	dw;
朵	dwa
雕	dwe
独	dwo
岛	dwu
邸	dwv
绨	dx/
缔	dx;
驮	dxa
缎	dxe
镀	dy;
钉	dya
锻	dye
督	dyo
铛	dyu
铎	dyv
钓	dyz
奋	fao
砝	fau
矾	faz
弗	fbu
焚	fc/
梵	fc;
樊	fca
枫	fcz
浮	fd/
涪	fd;
沣	fda
泛	fde
副	fdu
沸	fdv
芬	fe/
芳	fe;
菲	fea
芙	feu
乏	fev
酚	ff/
甫	ff;
覆	ffe
奉	fga
璠	fge
丰	fgu
疯	fh/
府	fhe
腐	fho
霏	fhu
冯	fhv
废	fhz
吠	fia
咐	fie
啡	fiu
俘	fj/
仿	fj;
付	fja
阀	fje
仆	fju
佛	fjv
彷	fk;
抚	fka
扶	fku
拂	fkv
访	fl;
福	fla
袱	fle
扉	flu
讽	flz
粉	fm/
釜	fma
烦	fme
番	fmo
釜	fmu
翻	fmv
烽	fmz
愤	fnu
怫	fnv
幡	fo/
帆	fo;
幅	foa
贩	foe
蝠	foo
赋	fou
罚	fov
峰	foz
返	fq;
舫	fqv
鼢	fr/
阜	fru
妨	fs;
辅	fsa
辐	fso
匪	fsu
妃	fsv
氛	ft/
符	fte
缶	ftu
繁	ftv
坟	fu;
封	fua
赴	fuu
坊	fuv
防	fv;
脯	fva
附	fve
肤	fvu
肥	fvv
孵	fw/
凡	fw;
匐	fwa
饭	fwe
负	fwo
犯	fwv
凫	fwz
纺	fx;
缚	fxa
驸	fxe
绯	fxu
缝	fxz
斐	fy;
蜚	fyo
翡	fyv
锋	fyz
尬	ga/
戛	gaa
顾	gae
硅	gau
硌	gaz
艮	gb;
敢	gbe
弓	gbv
桧	gc/
棺	gc;
柜	gca
柑	gce
棍	gco
桂	gcu
概	gcv
构	gcz
淦	gd/
滚	gd;
泔	gda
港	gde
亘	gdo
沽	gdu
溉	gdv
沟	gdz
莞	ge;
鹳	gee
葛	geo
菇	gev
苟	gez
共	gf/
辜	gf;
哥	gfa
攻	gfe
革	gfo
甘	gfu
丐	gfv
歌	gfz
耕	gga
瑰	gge
规	ggo
汞	ggu
疳	gha
裹	gho
郭	ghv
赣	ghz
嘎	gia
呱	gie
呙	gio
咕	giu
哏	giv
跪	giz
倌	gj;
供	gje
估	gju
阁	gjz
搞	gk;
拱	gke
搁	gko
挂	gku
撖	gkv
拐	gkz
雇	gle
观	glo
冠	glu
诡	glz
谷	gm/
糕	gm;
粳	gma
盖	gmo
羔	gmu
宫	gn;
寡	gna
惯	gno
割	gnu
怪	gnv
冈	go/
罡	goa
贵	goo
固	gou
骨	gov
购	goz
躬	gr;
皋	gra
皈	gre
盥	gro
睾	gru
鬼	grv
晷	grz
戈	gs;
媾	gse
辊	gso
轱	gsu
轧	gsv
轨	gsz
稿	gt;
缸	gta
罐	gte
刮	gtu
郜	gtv
乖	gtz
垓	gu;
赶	gua
垢	gue
鼓	guu
毂	guz
隔	gva
孤	gve
胳	gvo
肝	gvu
股	gvz
馆	gw;
鳜	gwa
觚	gwe
狗	gwo
觥	gwu
勾	gwv
够	gwz
纲	gx/
缟	gx;
纥	gxe
贯	gxo
镐	gy;
钙	gya
锆	gye
锅	gyo
钩	gyz
灰	ha/
磺	hae
厚	hao
夯	haz
憨	hb;
弧	hbe
弘	hbv
核	hc;
桓	hca
槐	hce
杭	hcz
洪	hd/
海	hd;
河	hda
浩	hde
画	hdo
湖	hdu
汉	hdv
鸿	hdz
荟	he/
荒	he;
荤	hea
荷	hee
茴	heo
葫	heu
蕙	hev
获	hez
翰	hf/
惠	hf;
卉	hfa
黄	hfo
韩	hfu
胡	hfv
魂	hge
瑚	hgu
慧	hgv
亥	hh/
豪	hha
毫	hhe
肓	hho
痕	hhv
劾	hhz
哈	hi/
哼	hi;
喊	hia
呼	hie
喝	hio
唬	hiu
吼	hiv
唤	hiz
伙	hj/
阂	hj;
辉	hja
颔	hje
货	hjo
华	hju
含	hjv
护	hk;
撼	hka
徨	hke
徽	hko
衡	hku
挥	hkv
换	hkz
谎	hl;
户	hle
祸	hlo
罕	hlu
诨	hlv
欢	hlz
烩	hm/
烘	hma
煌	hme
焊	hmo
糊	hmu
焕	hmz
豁	hn/
寒	hn;
怀	hna
慌	hne
悍	hno
恍	hnu
恨	hnv
惚	hnz
虹	hoa
蝗	hoe
幌	hoo
患	hov
航	hq;
逅	hqv
晗	hr/
遑	hr;
旱	hra
晃	hre
皇	hru
晖	hrv
毁	hrz
惑	hs;
互	hsa
划	hsu
轰	hsv
婚	hsz
禾	ht;
簧	hte
秽	hto
笏	htz
赫	hu/
壕	hu;
坏	hua
壶	huu
郝	huv
隍	hve
函	hvv
忽	hw;
猴	hwe
昏	hwo
凰	hwu
狠	hwv
缓	hx/
骇	hx;
缳	hxo
绘	hxu
幻	hxv
壑	hyu
虎	hyz
贺	hzo
仄	ia/
逐	ia;
左	iaa
斫	iae
丈	iao
砖	iau
粥	ib/
昼	ibo
桩	ic;
植	ica
株	ice
枳	ico
枝	icu
枕	icv
栅	icz
洲	id/
滓	id;
浙	ida
湛	ide
澡	ido
沾	idu
治	idv
沼	idz
芝	ie;
葬	iea
茱	iee
著	ieu
蒸	iev
遭	if;
载	ifa
政	ife
职	ifo
醉	ifu
支	ifv
酌	ifz
珍	ig/
专	ig;
琢	iga
珠	ige
责	igo
奏	igu
座	ih/
遮	ih;
状	iha
准	ihe
资	iho
章	ihu
姿	ihv
唑	ii/
踪	ii;
啄	iia
咱	iie
噪	iio
足	iiu
嘱	iiv
嘴	iiz
众	ij/
伫	ij;
值	ija
掌	ije
仲	ijo
坐	iju
仔	ijv
掷	ik/
摘	ik;
征	ika
抓	ike
捉	iko
振	iku
择	ikv
招	ikz
诊	il/
谆	il;
冢	ila
祝	ile
祖	ilo
诸	ilu
肇	ilv
诏	ilz
遵	im;
尊	ima
炸	ime
烛	imo
州	imu
郑	imv
灼	imz
灾	in/
宰	in;
怔	ina
宅	ine
宙	ino
宗	inu
赚	io/
