五笔字型计算机汉字输入技术	gtps
王永民中文电脑研究所	gynr
王永民电脑有限公司	gynn
当一天和尚撞一天钟	iggq
党的十一届三中全会	irfw
家庭联产承包责任制	pybr
搬起石头砸自己的脚	rfde
百尺竿头更进一步	dnth
坚持四项基本原则	jrlm
中央人民广播电台	kmwc
以经济建设为中心	nxin
新疆维吾尔自治区	uxxa
全国人民代表大会	wlww
马克思列宁主义	cdly
一切从实际出发	gawn
中共中央总书记	kaky
中国人民解放军	klwp
中华人民共和国	kwwl
宁夏回族自治区	pdla
打破沙锅问到底	rdiy
科学技术委员会	tirw
新华社香港分社	uwpp
广西壮族自治区	ysua
有志者事竟成	dffd
历史唯物主义	dkky
百闻不如一见	dugm
王码电脑公司	gdjn
政治协商会议	gify
五笔字型电脑	gtpe
理论联系实际	gybb
汉字输入技术	ipls
坚持改革开放	jrny
中国人民银行	klwt
中央国家机关	kmlu
内蒙古自治区	mada
风马牛不相及	mcre
本报特约记者	srtf
可望而不可及	syde
新华社北京电	uwpj
辩证唯物主义	uyky
全国各族人民	wltn
人民代表大会	wnww
戈尔巴乔夫	aqcf
喜马拉雅山	fcrm
更上一层楼	ghgs
现代化建设	gwwy
上接第一版	hrtt
常务委员会	ittw
小资产阶级	iuux
中国共产党	klai
中国科学院	kltb
中央政治局	kmgn
中央电视台	kmjc
中央办公厅	kmld
中央书记处	kmnt
中央各部委	kmtt
中央委员会	kmtw
国务院总理	ltbg
四个现代化	lwgw
发明家分会	njpw
发展中国家	nnkp
快刀斩乱麻	nvly
民主集中制	nywr
军事委员会	pgtw
西藏自治区	sata
毛泽东思想	tias
疾风知劲草	umta
新技术革命	ursw
新闻发言人	uunw
新华通讯社	uwcp
新华社记者	uwpf
人大常委会	wdiw
人民大会堂	wndi
全民所有制	wnrr
集体所有制	wwrr
为人民服务	ywnt
评论员文章	yyku
马克思主义	cdly;	2
新闻发布会	uunw;	2
卧薪尝胆	aaie
落花流水	aaii
蒸蒸日上	aajh
熙熙攘攘	aarr
勤勤恳恳	aavv
勤工俭学	aawi
戒骄戒躁	acak
藏龙卧虎	adah
敬而远之	adfp
巧夺天工	adga
基础理论	adgy
工矿企业	adwo
其貌不扬	aegr
若无其事	afag
劳动模范	afsa
劳动人民	afwn
劳动保护	afwr
莎士比亚	afxg
劳动纪律	afxt
花天酒地	agif
萍水相逢	aist
惹是生非	ajtd
苦口婆心	akin
世界形势	algr
世界经济	alxi
世界纪录	alxv
东山再起	amgf
功败垂成	amtd
劳民伤财	anwm
萤火虫儿	aojq
工农联盟	apbj
其实不然	apgq
切实可行	apst
或多或少	aqai
莫名其妙	aqav
黄金时代	aqjw
世外桃源	aqsi
节外生枝	aqts
甘拜下风	argm
基本原则	asdm
基本路线	askx
基本国策	aslt
基本建设	asvy
草木皆兵	asxr
鞭长莫及	atae
鞠躬尽瘁	atnu
医疗卫生	aubt
茁壮成长	audt
蓬头垢面	aufd
共产党员	auik
巧立名目	auqh
工商银行	auqt
工资级别	auxk
共产主义	auyy
工人阶级	awbx
革命战争	awhq
欺人之谈	awpy
工作总结	awux
工作人员	awwk
花言巧语	ayay
莫衷一是	aygj
英文键盘	ayqt
东施效颦	ayuh
节衣缩食	ayxw
出其不意	bagu
孤芳自赏	bati
孜孜不倦	bbgw
孤陋寡闻	bbpu
阳奉阴违	bdbf
出奇制胜	bdre
阳春白雪	bdrf
随声附和	bfbt
除此之外	bhpq
随波逐流	biei
孤注一掷	bigr
随时随地	bjbf
聪明才智	bjft
随心所欲	bnrw
出类拔萃	bora
职业道德	bout
聚精会神	bowp
孤家寡人	bppw
了解情况	bqnu
出尔反尔	bqrq
随机应变	bsyy
隆重开幕	btga
出租汽车	btil
联系业务	btot
联系实际	btpb
取长补短	btpt
联系群众	btvw
耳闻目睹	buhh
承前启后	buyr
了如指掌	bvri
降低成本	bwds
出人头地	bwuf
阿弥陀佛	bxbw
出谋划策	byat
陈词滥调	byiy
阴谋诡计	byyy
能工巧匠	caaa
艰苦奋斗	cadu
艰苦卓绝	cahx
艰难险阻	ccbb
难能可贵	ccsk
鸡犬不宁	cdgp
骄奢淫逸	cdiq
参考消息	cfit
能者多劳	cfqa
参考资料	cfuo
马到成功	cgda
勇于探索	cgrf
马来西亚	cgsg
马不停蹄	cgwk
马列主义	cgyy
能上能下	chcg
对内搞活	cmri
通情达理	cndg
通宵达旦	cpdj
对外开放	cqgy
对外贸易	cqqj
欢欣鼓舞	crfr
骄兵必败	crnm
对牛弹琴	crxg
鸡毛蒜皮	ctah
勇往直前	ctfu
对症下药	cuga
通货膨胀	cwee
通信地址	cwff
骇人听闻	cwku
通俗读物	cwyt
又红又专	cxcf
通讯卫星	cybj
克勤克俭	dadw
百花齐放	dayy
奋勇当先	dcit
悲欢离合	dcyw
郁郁葱葱	ddaa
夸夸其谈	dday
万寿无疆	ddfx
石破天惊	ddgn
兢兢业业	ddoo
原原本本	ddss
大有可为	ddsy
万古长青	ddtg
大有作为	ddwy
面貌一新	degu
克服困难	delc
大腹便便	deww
有声有色	dfdq
万无一失	dfgr
大声疾呼	dfuk
万事大吉	dgdf
奋不顾身	dgdt
奇形怪状	dgnu
原形毕露	dgxf
故弄玄虚	dgyh
有目共睹	dhah
百战百胜	dhde
面目一新	dhgu
顾此失彼	dhrt
万紫千红	dhtx
大江东去	diaf
石沉大海	didi
感激涕零	diif
大兴安岭	dipm
万水千山	ditm
大显身手	djtr
